testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002065058,0.000028781,0.002060653,9.789e-6,459,1
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007296165,0.000073037,0.007288933,0.000066248,137,1
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,5.68e-7,2.04e-7,5.61e-7,2e-8,98049,1
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.826e-6,7.53e-7,4.749e-6,5.9e-8,112146,1
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.21e-7,4.7e-8,4.13e-7,9e-9,108614,20
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.763e-6,6.89e-7,4.708e-6,6.1e-8,118822,1
ubuntu-latest,2025-03-03T13:21:57.259286+00:00,33abd7e1d47977ca5173792afead3fb5edac8d09,main,2025-03-03T13:20:31+00:00,2025-03-03T13:11:45+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.232339075,0.008665617,0.227177476,0.014621701,5,1
