testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.00205789,0.000179847,0.002037109,0.000017583,490,1
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007295381,0.000118722,0.007296607,0.000172153,137,1
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.17e-7,6.5e-8,4.05e-7,8e-9,110048,20
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.797e-6,6.64e-7,4.739e-6,6e-8,118963,1
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.33e-7,5.1e-8,4.27e-7,4e-9,107794,20
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.901e-6,6.67e-7,4.829e-6,1.6e-7,113948,1
ubuntu-latest,2025-03-03T19:45:14.178936+00:00,1519f624bf3a94b97e3ec28237bb01f88171419f,main,2025-03-03T19:43:54+00:00,2025-03-03T19:37:11+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.210017396,0.001700857,0.209731262,0.001597135,5,1
