testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002059133,0.000023573,0.002055459,0.000016953,464,1
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007045995,0.000517147,0.006972975,0.000035517,137,1
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.22e-7,4.9e-8,4.16e-7,4e-9,110547,20
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.83e-6,6.37e-7,4.769e-6,7e-8,111409,1
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.26e-7,4.4e-8,4.21e-7,4e-9,101236,20
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.838e-6,7.39e-7,4.759e-6,9e-8,108484,1
ubuntu-latest,2025-03-03T19:50:33.774482+00:00,ccd3355f031b77fe56af2610aa7ccc5af7ea30a9,main,2025-03-03T19:49:12+00:00,2025-03-03T19:37:11+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.208915243,0.004530664,0.206959746,0.007594836,5,1
