testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002035641,0.000019406,0.00203407,0.000015428,464,1
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.00706103,0.00010968,0.007056503,0.000027001,117,1
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.15e-7,4.1e-8,4.11e-7,4e-9,113046,20
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.763e-6,6.83e-7,4.699e-6,6e-8,104516,1
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.26e-7,4e-8,4.22e-7,4e-9,108732,20
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.896e-6,9.57e-7,4.749e-6,9e-8,105742,1
ubuntu-latest,2025-03-03T13:59:43.696545+00:00,c2e5ea567ef80fe335ed0c7663850d700af18f1c,main,2025-03-03T13:58:01+00:00,2025-03-03T13:58:01+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.241452633,0.00193861,0.242469256,0.003581531,5,1
