testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002022214,0.000036072,0.002017477,0.000010996,468,1
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007339856,0.000046603,0.007327654,0.000033665,135,1
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.18e-7,3.9e-8,4.14e-7,4e-9,111895,20
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.918e-6,6.78e-7,4.859e-6,8e-8,114996,1
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.13e-7,4.4e-8,4.08e-7,3e-9,111895,20
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.896e-6,6.41e-7,4.839e-6,9e-8,113418,1
ubuntu-latest,2025-03-04T12:13:53.285471+00:00,6daad68bdabffafec7f6d30ae6784648ac7fbe11,main,2025-03-04T12:12:23+00:00,2025-03-04T12:12:23+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.233920002,0.00406624,0.234797714,0.006255613,5,1
