testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002034727,0.000126476,0.002004739,0.000013887,463,1
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007901573,0.000856555,0.007709947,0.001566441,107,1
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.33e-7,1.02e-7,4.08e-7,4e-9,111770,20
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.8e-6,7.35e-7,4.719e-6,5.9e-8,100929,1
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.28e-7,4.2e-8,4.23e-7,3e-9,110902,20
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.903e-6,6.83e-7,4.839e-6,6e-8,106644,1
ubuntu-latest,2025-03-03T13:13:18.205059+00:00,258ab06725efff64cbdacb07f0b8543297ff072f,main,2025-03-03T13:11:45+00:00,2025-03-03T13:11:45+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.225262406,0.00485303,0.225123714,0.00676717,5,1
