testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002116759,0.000020844,0.002113637,0.000022763,446,1
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007282821,0.000271105,0.007255646,0.000090178,135,1
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.28e-7,4.5e-8,4.2e-7,7e-9,110534,20
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.811e-6,8.17e-7,4.729e-6,7e-8,98824,1
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.29e-7,5e-8,4.24e-7,5e-9,110048,20
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.873e-6,7.87e-7,4.779e-6,1.1e-7,100412,1
ubuntu-latest,2025-03-03T13:24:24.756502+00:00,180f9094243bd5d81fcda02633d4714153f96757,main,2025-03-03T13:22:53+00:00,2025-03-03T13:11:45+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.291813887,0.001330054,0.292071467,0.001788481,5,1
