testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002034903,0.00002168,0.002040456,0.000034405,462,1
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007368232,0.000036499,0.007360972,0.000031248,136,1
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.21e-7,4.5e-8,4.16e-7,4e-9,108850,20
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.938e-6,6.65e-7,4.879e-6,6e-8,102271,1
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.17e-7,4.1e-8,4.13e-7,5e-9,111149,20
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.856e-6,6.81e-7,4.819e-6,9e-8,101441,1
ubuntu-latest,2025-03-04T11:23:20.000526+00:00,7460d017cbb2236c096c6c77717726e63cb70e29,main,2025-03-04T11:21:47+00:00,2025-03-04T11:21:47+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.22056558,0.008895497,0.217340265,0.015003057,5,1
