testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002078829,0.000042781,0.002073528,0.000010639,453,1
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007305104,0.00003573,0.007297085,0.000020289,134,1
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.16e-7,3.9e-8,4.12e-7,3e-9,113302,20
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,5e-6,1.842e-6,4.819e-6,8e-8,110169,1
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.26e-7,4.5e-8,4.19e-7,5e-9,108969,20
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.879e-6,6.86e-7,4.829e-6,5.9e-8,114208,1
ubuntu-latest,2025-03-03T13:35:20.380635+00:00,ebab14200e932fdc855794dba497ed6d91a30285,main,2025-03-03T13:33:43+00:00,2025-03-03T13:33:43+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.254605019,0.004876942,0.25534584,0.004186457,5,1
