testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002012921,0.000012631,0.002009581,0.000011932,462,1
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007094414,0.000074355,0.007052706,0.000120275,138,1
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.41e-7,4.1e-8,4.43e-7,2.1e-8,109326,20
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.847e-6,6.09e-7,4.798e-6,5e-8,113174,1
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.32e-7,4.5e-8,4.27e-7,3e-9,109087,20
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.81e-6,6.68e-7,4.749e-6,5e-8,113676,1
ubuntu-latest,2025-03-03T13:57:05.739489+00:00,bd786c9176c1168da47ecc323ac750acf4fc4be6,main,2025-03-03T13:55:29+00:00,2025-03-03T13:55:29+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.217048239,0.003228274,0.217672405,0.004925195,5,1
