testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002061533,0.00005439,0.002056886,0.000020288,466,1
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.00726526,0.000060803,0.007246139,0.000078161,136,1
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.19e-7,4e-8,4.14e-7,4e-9,111895,20
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.893e-6,7.42e-7,4.819e-6,6e-8,112284,1
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.19e-7,5.6e-8,4.1e-7,4e-9,111770,20
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.869e-6,6.47e-7,4.809e-6,7e-8,110425,1
ubuntu-latest,2025-03-03T13:38:21.077402+00:00,78295e7c085863d7a0fc0b6e854efa1bb789f569,main,2025-03-03T13:36:53+00:00,2025-03-03T13:33:43+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.220821833,0.001695317,0.220589013,0.002687221,5,1
