testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002100289,0.000053366,0.002088048,0.000070151,384,1
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007376159,0.000111637,0.007351884,0.000158522,132,1
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.72e-7,4.2e-8,4.66e-7,1.6e-8,101225,20
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.979e-6,6.98e-7,4.91e-6,9.1e-8,104070,1
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.29e-7,4e-8,4.22e-7,1.3e-8,100111,20
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.935e-6,6.67e-7,4.839e-6,2e-7,106191,1
ubuntu-latest,2025-03-03T13:04:40.265889+00:00,8d4b6fd7971c6013e0fffdeb308c2b5fc8e9c65a,main,2025-03-03T13:03:06+00:00,2025-03-03T13:03:06+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.221252718,0.004001786,0.220050588,0.006405397,5,1
